event_id,video_id,t_start,t_end,duration,event_type_majority,involved_object_majority,num_supporting_anchors,supporting_anchor_ids,mean_confidence_proxy,all_boundary_statuses,complete_event_visible_all,evidence_summary,label_source,oracle_version,event_type
realcartest_event_0010,realcartest,840.0,850.7,10.700000000000045,enter_ego_path,vehicle,2,center10_anchor_0084|center10_anchor_0085,high,ok,True,在视频开始时，一辆大型公交车位于右侧车道，紧邻 ego 车辆的右侧，其车身部分已进入 ego 车辆的未来行驶路径（右侧车道），并持续占据该路径，构成空间冲突。公交车从初始位置（右侧边缘）向 ego 车辆路径内移动，形成切入或并行侵占路径的行为。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0011,realcartest,920.0,920.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0092,high,ok,True,一辆深色轿车从右侧车道切入至 ego 车辆前方，进入其未来行驶路径，造成潜在冲突。该车在 0.0 秒时位于右侧车道外，0.7 秒时已明显进入 ego 车辆前方路径，且距离较近，需引起注意。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0012,realcartest,980.0,980.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0098,high,ok,True,一辆黑色SUV从右侧车道向左变道，切入到ego车辆前方的行车路径中，形成明显的路径冲突，且该车辆初始位于ego车辆右侧车道外侧，随后进入ego车辆的未来行驶路径。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0013,realcartest,1010.0,1010.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0101,high,ok,True,一辆白色轿车从右侧非机动车道或路边区域切入 ego 车辆前方车道，进入 ego 车辆的未来行驶路径，造成潜在空间冲突。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0014,realcartest,1050.5,1080.7,30.200000000000045,enter_ego_path,vehicle,4,center10_anchor_0105|center10_anchor_0106|center10_anchor_0107|center10_anchor_0108,high,ok,True,一辆银色轿车从右侧车道切入至 ego 车辆前方，进入其未来行驶路径，造成潜在空间冲突。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0015,realcartest,1110.0,1150.7,40.700000000000045,enter_ego_path,vehicle,5,center10_anchor_0111|center10_anchor_0112|center10_anchor_0113|center10_anchor_0114|center10_anchor_0115,high,ok,True,在视频开始时，右侧一辆白色轿车从右侧车道切入至 ego 车辆前方车道，明显进入 ego 车辆的未来行驶路径，造成潜在空间冲突，需 ego 车辆注意避让。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0016,realcartest,1170.0,1190.7,20.700000000000045,enter_ego_path,vehicle,3,center10_anchor_0117|center10_anchor_0118|center10_anchor_0119,high,ok,True,一辆白色轿车从右侧车道切入至 ego 车辆前方，进入其未来行驶路径，造成潜在空间冲突。车辆从右侧靠近并横向移动进入 ego 车道，明显属于切入行为。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0017,realcartest,1210.0,1220.7,10.700000000000045,enter_ego_path,vehicle,2,center10_anchor_0121|center10_anchor_0122,high,ok,True,白色轿车从右侧车道切入至 ego 车辆前方，进入其未来行驶路径，造成潜在空间冲突，且车辆尾灯亮起，表明正在变道或减速。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0018,realcartest,1250.0,1250.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0125,high,ok,True,一辆白色轿车从左侧车道切入至 ego 车辆前方，进入其未来行驶路径，造成潜在冲突。该车在 0.0 秒时位于左侧车道，0.7 秒时已完全进入 ego 车辆正前方车道，形成切入行为。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0019,realcartest,1500.0,1500.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0150,high,ok,True,在0秒时，右侧白色轿车位于 ego 车辆右侧车道，未进入 ego 路径；在0.7秒时，该白色轿车明显向左变道，切入 ego 车辆前方右侧车道，进入 ego 车辆未来行驶路径，形成空间冲突，需 ego 注意。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
